TRT,CAGETREATBLOCK ,CAGE,WEIGHT_1,WEIGHT_2,WEIGHT_3,,,,,,,,,,,,,,,,
Probiotic,2,107,42,192,636,,,,,,,,,,,,,,,,
Probiotic,2,107,44,175,715,,,,,,,,,,,,,,,,
Probiotic,2,107,40,177,885,,,,,,,,,,,,,,,,
Probiotic,2,107,44,175,812,,,,,,,,,,,,,,,,
Probiotic,2,107,37,185,819,,,,,,,,,,,,,,,,
Probiotic,3,115,43,183,977,,,,,,,,,,,,,,,,
Probiotic,3,115,43,212,691,,,,,,,,,,,,,,,,
Probiotic,3,115,37,181,879,,,,,,,,,,,,,,,,
Probiotic,3,115,41,160,786,,,,,,,,,,,,,,,,
Probiotic,3,115,43,180,925,,,,,,,,,,,,,,,,
Probiotic,3,115,46,178,786,,,,,,,,,,,,,,,,
Probiotic,3,115,45,214,881,,,,,,,,,,,,,,,,
Probiotic,3,115,43,213,938,,,,,,,,,,,,,,,,
Probiotic,3,115,42,188,798,,,,,,,,,,,,,,,,
Probiotic,3,115,37,198,810,,,,,,,,,,,,,,,,
Probiotic,4,118,44,171,873,,,,,,,,,,,,,,,,
Probiotic,4,118,44,170,784,,,,,,,,,,,,,,,,
Probiotic,4,118,48,193,833,,,,,,,,,,,,,,,,
Probiotic,4,118,41,194,953,,,,,,,,,,,,,,,,
Probiotic,4,118,45,201,813,,,,,,,,,,,,,,,,
Probiotic,4,118,38,209,914,,,,,,,,,,,,,,,,
Probiotic,4,118,40,167,969,,,,,,,,,,,,,,,,
Probiotic,4,118,42,158,904,,,,,,,,,,,,,,,,
Probiotic,4,118,41,199,794,,,,,,,,,,,,,,,,
Probiotic,4,118,49,179,806,,,,,,,,,,,,,,,,
Probiotic,5,177,41,166,765,,,,,,,,,,,,,,,,
Probiotic,5,177,40,197,916,,,,,,,,,,,,,,,,
Probiotic,5,177,45,221,706,,,,,,,,,,,,,,,,
Probiotic,5,177,42,182,889,,,,,,,,,,,,,,,,
Probiotic,5,177,45,213,867,,,,,,,,,,,,,,,,
Probiotic,5,177,48,184,432,,,,,,,,,,,,,,,,
Probiotic,5,177,44,184,753,,,,,,,,,,,,,,,,
Probiotic,5,177,37,170,771,,,,,,,,,,,,,,,,
Probiotic,5,177,46,224,961,,,,,,,,,,,,,,,,
Probiotic,5,177,37,203,883,,,,,,,,,,,,,,,,
Probiotic,6,183,39,161,875,,,,,,,,,,,,,,,,
Probiotic,6,183,40,163,858,,,,,,,,,,,,,,,,
Probiotic,6,183,40,179,976,,,,,,,,,,,,,,,,
Probiotic,6,183,42,192,912,,,,,,,,,,,,,,,,
Probiotic,6,183,38,184,803,,,,,,,,,,,,,,,,
Probiotic,6,183,39,211,763,,,,,,,,,,,,,,,,
Probiotic,6,183,45,190,785,,,,,,,,,,,,,,,,
Probiotic,6,183,48,200,856,,,,,,,,,,,,,,,,
Probiotic,6,183,46,161,900,,,,,,,,,,,,,,,,
Probiotic,6,183,45,206,875,,,,,,,,,,,,,,,,
Probiotic,7,189,43,187,808,,,,,,,,,,,,,,,,
Probiotic,7,189,43,203,802,,,,,,,,,,,,,,,,
Probiotic,7,189,49,170,860,,,,,,,,,,,,,,,,
Probiotic,7,189,41,196,1000,,,,,,,,,,,,,,,,
Probiotic,7,189,36,176,820,,,,,,,,,,,,,,,,
Probiotic,7,189,46,200,400,,,,,,,,,,,,,,,,
Probiotic,7,189,49,197,796,,,,,,,,,,,,,,,,
Probiotic,7,189,41,183,763,,,,,,,,,,,,,,,,
Probiotic,7,189,42,216,791,,,,,,,,,,,,,,,,
Probiotic,7,189,37,74,822,,,,,,,,,,,,,,,,
Probiotic,8,192,43,190,891,,,,,,,,,,,,,,,,
Probiotic,8,192,43,198,814,,,,,,,,,,,,,,,,
Probiotic,8,192,35,185,918,,,,,,,,,,,,,,,,
Probiotic,8,192,40,171,715,,,,,,,,,,,,,,,,
Probiotic,8,192,42,186,888,,,,,,,,,,,,,,,,
Probiotic,8,192,42,136,771,,,,,,,,,,,,,,,,
Probiotic,8,192,39,200,837,,,,,,,,,,,,,,,,
Probiotic,8,192,45,180,809,,,,,,,,,,,,,,,,
Probiotic,8,192,40,173,800,,,,,,,,,,,,,,,,
Probiotic,8,192,42,192,905,,,,,,,,,,,,,,,,
Essential Oils,1,104,40,171,796,,,,,,,,,,,,,,,,
Essential Oils,1,104,43,199,554,,,,,,,,,,,,,,,,
Essential Oils,1,104,46,170,779,,,,,,,,,,,,,,,,
Essential Oils,1,104,40,105,443,,,,,,,,,,,,,,,,
Essential Oils,1,104,43,180,899,,,,,,,,,,,,,,,,
Essential Oils,1,104,42,187,889,,,,,,,,,,,,,,,,
Essential Oils,1,104,44,161,815,,,,,,,,,,,,,,,,
Essential Oils,1,104,40,198,849,,,,,,,,,,,,,,,,
Essential Oils,1,104,43,169,871,,,,,,,,,,,,,,,,
Essential Oils,1,104,41,132,774,,,,,,,,,,,,,,,,
Essential Oils,2,108,48,151,808,,,,,,,,,,,,,,,,
Essential Oils,2,108,39,156,794,,,,,,,,,,,,,,,,
Essential Oils,2,108,43,187,938,,,,,,,,,,,,,,,,
Essential Oils,2,108,47,148,920,,,,,,,,,,,,,,,,
Essential Oils,2,108,39,183,453,,,,,,,,,,,,,,,,
Essential Oils,2,108,43,174,839,,,,,,,,,,,,,,,,
Essential Oils,2,108,41,218,938,,,,,,,,,,,,,,,,
Essential Oils,2,108,40,216,820,,,,,,,,,,,,,,,,
Essential Oils,2,108,46,205,905,,,,,,,,,,,,,,,,
Essential Oils,2,108,41,151,787,,,,,,,,,,,,,,,,
